1 79.500000 
2 79.500000 
3 79.000000 
4 77.400000 
5 76.700000 
6 76.500000 
7 75.500000 
8 75.700000 
9 75.500000 
10 75.200000 
11 74.700000 
12 74.200000 
13 74.200000 
14 74.300000 
15 74.300000 
16 74.300000 
17 73.800000 
18 73.600000 
19 73.700000 
20 73.300000 
21 73.100000 
22 72.700000 
23 72.500000 
24 72.400000 
25 72.500000 
26 72.800000 
27 72.400000 
28 72.600000 
29 72.500000 
30 72.400000 
31 72.900000 
32 72.200000 
33 72.300000 
34 72.300000 
35 72.300000 
36 71.500000 
37 71.600000 
38 71.800000 
39 71.400000 
40 71.200000 
41 71.400000 
42 70.500000 
43 70.300000 
44 70.200000 
45 70.700000 
46 70.700000 
47 70.600000 
48 70.000000 
49 69.700000 
50 69.700000 
51 70.400000 
52 70.300000 
53 70.400000 
54 70.200000 
55 70.200000 
56 70.000000 
57 69.900000 
58 70.100000 
59 70.000000 
60 69.600000 
61 69.500000 
62 69.500000 
63 69.900000 
64 70.500000 
65 71.000000 
66 70.900000 
67 70.500000 
68 70.600000 
69 70.200000 
70 70.400000 
71 70.500000 
72 70.400000 
73 70.200000 
74 70.000000 
75 70.400000 
76 70.200000 
77 69.500000 
78 69.400000 
79 69.500000 
80 69.500000 
81 69.700000 
82 69.300000 
83 69.000000 
84 69.300000 
85 69.600000 
86 69.200000 
87 69.200000 
88 69.200000 
89 69.000000 
90 68.400000 
91 69.000000 
92 68.900000 
93 69.000000 
94 69.000000 
95 69.300000 
96 69.200000 
97 69.300000 
98 69.000000 
99 68.500000 
100 68.500000 
